,0.2.09.10.M,0.2.08.10.M,0.2.07.10.M,0.2.06.10.M,0.2.05.10.M,0.2.04.10.M,0.2.03.10.M,0.2.02.10.M,0.2.01.10.M,0.2.15.10.M,0.2.46.10.M,0.2.14.10.M,0.2.45.10.M,0.2.13.10.M,0.2.44.10.M,0.2.12.10.M,0.2.43.10.M,0.2.11.10.M,0.2.42.10.M,0.2.10.10.M,0.2.41.10.M,0.2.20.10.M
1982-04-01,460.1,91.4,268.5,148.6,243.4,200.3,149.6,79.6,933.4,196.1,342.4,146.3,479.1,153.5,460.1,125.6,359.9,64.9,592.3,135.1,1162.6,3396.4
1982-05-01,502.6,96.8,289.8,151,268.3,210.3,149.7,80.8,920.5,196.6,342.1,145.5,486.1,154.8,502.6,128.7,386.6,67.7,629.6,134.9,1150.9,3497.9
1982-06-01,443.8,88.6,261.9,142.6,266.1,198.7,149,77.3,933.6,188.5,328.7,140.2,467.5,148.8,443.8,125,350.5,65.5,607.4,128.2,1160,3357.8
1982-07-01,459.1,92.1,267.2,150.1,273.5,208.7,153.5,80.4,972.6,192,338.5,146.5,491.1,156.1,459.1,136.6,359.3,68.5,632.4,129.9,1206.4,3486.8
1982-08-01,438.4,83.7,241.5,153.7,262.7,206.2,147.3,81.6,923.5,192.7,331.5,138.8,485.7,152.8,438.4,134.7,325.2,65.2,622.6,133,1152.5,3355.9
1982-09-01,465.1,90.1,256.2,157.9,263.1,200.9,151.8,81.4,955.9,197.6,341.9,144.3,489.9,157.2,465.1,130.4,346.3,66.8,622,135.5,1189.1,3454.3
1982-10-01,452.7,92.9,261.3,162.6,263.3,211.9,157.3,90.8,999.3,211.9,358.4,146.6,500.9,160.6,452.7,132,354.2,67.7,637.8,140.6,1247.4,3551.5
1982-11-01,522.9,101.5,302.4,199,285.9,232.2,156.5,92.3,1031.9,215.4,374.7,159.3,531.1,176.1,522.9,135.7,403.9,73.6,717.2,145.7,1280.7,3830.5
1982-12-01,889.3,145.2,426.1,385,410.7,281.2,182.3,111,1190.4,240.5,433.1,192.6,725.2,258.7,889.3,176.7,571.4,95.8,1077,194,1483.7,5179.7
1983-01-01,379.2,88.8,237.7,169.9,255.4,190.7,151.9,91.7,959.3,226.9,368.6,141.8,491.4,159.3,379.2,128.5,326.5,64.9,615.9,138.6,1202.8,3384.5
1983-02-01,378,82.3,216.4,159.4,267.5,194.8,146.7,82,995.5,204.4,348.1,143.7,499.1,157.9,378,122.1,298.7,66.4,621.7,152.8,1224.2,3369.8
1983-03-01,472.1,97.5,279.7,184.2,315.1,219.8,160.3,91.4,1080.8,213.9,365.8,151.9,538.7,174.4,472.1,133.2,377.2,73.7,719.1,157.3,1332.4,3805.3
1983-04-01,503.4,104.2,308.3,155.7,284.2,193.5,148.1,86.4,1036.4,198.1,351.1,153,493.8,159.3,503.4,131.8,412.5,71.5,633.4,131.2,1270.9,3665.1
1983-05-01,510.6,107.7,310.8,170.1,304.9,222.9,152.4,85,1014.2,207.4,360.5,153.2,520.8,166.5,510.6,138.9,418.5,73.5,697.9,142,1251.7,3760
1983-06-01,462.4,98.3,284.6,157,294.4,210.5,151.6,83.7,1033.9,196.4,347.1,150.7,507.3,160.3,462.4,139.7,383,71.3,661.8,136,1269.3,3630.8
1983-07-01,468.3,97.7,286.2,159.6,293.4,203.9,159.5,85.9,1047.4,209.8,364.5,154.7,519.9,165.6,468.3,140.9,384,72.5,656.9,141,1292.8,3686.5
1983-08-01,458.2,96.9,283,172.4,320.9,217.7,159.1,88.5,1089.4,215.2,376,160.8,554.2,174.6,458.2,147.3,379.9,76.5,711,155.8,1337,3816.3
1983-09-01,482.7,103.5,298.5,181.4,295.1,213.9,157.7,89.6,1075.6,215.6,377.6,162,547.9,176,482.7,144.6,402,74.9,690.3,152.4,1322.8,3823.4
1983-10-01,485.3,104,291.8,200.2,301.1,213.3,156.4,93.1,1105.9,211,374.1,163.1,553.5,180.8,485.3,146.9,395.8,75.8,714.6,149.9,1355.4,3878.7
1983-11-01,568.7,111.4,320.3,235.3,350.1,230.1,159.6,95.4,1155.9,215.3,390.6,175.3,594.1,198.8,568.7,153.3,431.7,83.7,815.5,158.3,1410.9,4211.5
1983-12-01,963.7,161.5,464.5,433,486.8,278,184.3,123.2,1334.8,242.7,459,216.3,795.5,287.5,963.7,195.8,626,109.3,1197.8,202.9,1642.3,5684.3
1984-01-01,414.7,100.8,256.8,190.8,281.5,211.9,157.6,94.8,1062.2,236,388.8,152.7,538.8,173.9,414.7,142.6,357.6,70.5,684.2,151.7,1314.5,3698.5
1984-02-01,414.5,94.8,251.2,188.9,292.1,217.5,157.1,90.5,1087.8,223,377.1,154.1,561.6,176.7,414.5,141.2,346,71.9,698.5,171.8,1335.4,3733.2
1984-03-01,484.7,110.1,309,204.6,302.6,238.8,163,93.5,1132.3,231.4,397.8,166.3,574.6,186.8,484.7,148.4,419,76.7,746,162.7,1388.8,4010.9
1984-04-01,487.3,108.3,298.6,176.4,263,195.3,155.9,88.8,1101.8,218.5,383.3,164.7,529.7,172.5,487.3,135.4,406.9,72.2,634.7,149.6,1346.5,3788.4
1984-05-01,597.9,125,356,189.5,329,236.5,165.9,89.9,1148.5,231.3,414,182.7,590.1,190.6,597.9,149.7,480.9,83.5,755,166.3,1404.3,4242.3
1984-06-01,500.4,107.4,295.7,159.5,303.1,214.7,156.7,89.6,1121.3,216.5,381.5,165.1,542.2,171.7,500.4,141.8,403.1,76,677.2,152.7,1367.6,3872.1
1984-07-01,543.4,107.3,304.6,167.9,313,227.8,158.1,85.2,1118.3,223.5,393,169.5,559.4,177.2,543.4,143.9,411.9,78.5,708.7,159.8,1361.6,3978
1984-08-01,503.4,110.5,304,186.3,314.4,240.1,165.5,92,1179.2,228.8,409,180.2,591.6,190.1,503.4,153.1,414.5,81.5,740.9,166.9,1436.7,4096.1
1984-09-01,522.8,107.9,284.2,182,272.2,224.8,158.4,91.7,1105.5,226,394.7,168.8,557.2,180.2,522.8,143.1,392.1,74.5,679,159.4,1355.6,3901.4
1984-10-01,556.6,119.9,326.4,210.5,308.6,250.2,167.5,95.6,1199.5,238.1,424.5,186.4,614.5,200.8,556.6,151.9,446.3,82.9,769.3,178.9,1462.7,4274
1984-11-01,623.2,125.7,359.1,241.5,351.8,266,172.6,102.3,1226.6,244.9,436.5,191.7,651.8,215.5,623.2,158.9,484.8,88.9,859.3,188.6,1501.4,4557.1
1984-12-01,1039.4,166.3,472.5,408.3,475.5,290.8,188.6,129.7,1368.3,262.8,488.1,225.4,820,292.1,1039.4,192.4,638.8,111.7,1174.6,223.8,1686.6,5847.5
1985-01-01,516.3,109.6,292,188.8,295.4,218.8,172,106,1206.7,249.3,425.6,176.3,598.9,191,516.3,154,401.6,79.3,703,174.6,1484.7,4130
1985-02-01,452.5,99.1,269.1,183.8,275,210.6,160.4,95.3,1141.3,222.5,391.8,169.3,577.9,184.6,452.5,138.3,368.2,75.3,669.4,179.7,1397,3856.8
1985-03-01,525.8,108.9,309.4,193.2,317.9,231.1,170.1,102.1,1222.8,233.8,416.1,182.3,599.6,194.6,525.8,148.7,418.3,83.1,742.2,173.2,1495,4196.9
1985-04-01,587.7,115.3,335.1,188.6,292.8,240.2,169.4,98.1,1207.4,236.8,419.8,183.1,574.6,189.7,587.7,141.6,450.3,81,721.6,162.4,1474.9,4228.9
1985-05-01,700.3,134.7,405.4,210.8,361.5,283.5,179.8,99.9,1277.1,243.4,446.2,202.8,639.9,210.9,700.3,159.2,540.1,92.9,855.8,176.8,1556.8,4739.1
1985-06-01,561.8,113.5,338.7,176.5,316.7,249.1,166.2,93.8,1193.7,225.1,406.8,181.7,573.5,185.2,561.8,150.4,452.3,82.5,742.3,155.4,1453.7,4190.3
1985-07-01,602.8,119.8,356.6,188,335.9,276,180.4,96,1282.2,244.3,448.5,204.2,628.6,203.8,602.8,161.4,476.4,90.3,799.9,173.1,1558.6,4514.6
1985-08-01,582.5,120.3,346.7,201,339.3,275.2,186.7,102.1,1296.9,255.5,466,210.5,649.6,212.5,582.5,166.4,467,92.3,815.5,178.4,1585.7,4566.3
1985-09-01,563.1,119.2,333.4,193.1,316.2,267.5,179.7,101,1237.3,254,455.2,201.2,614.7,203.5,563.1,153.8,452.6,87.7,776.8,169.8,1518,4380.3
1985-10-01,637.1,137.4,385.5,242.1,337.7,301.5,197.6,107.4,1350.7,268.6,493.6,225,667,230.3,637.1,166.4,522.9,96.6,881.3,173.6,1655.7,4857.7
1985-11-01,697.1,145.8,411.5,289.8,366,317.4,200.3,113.5,1353.4,276.7,505.6,228.9,704.6,249.7,697.1,170.4,557.3,100.9,973.2,183.5,1667.3,5105
1985-12-01,1187.5,194.4,555.3,489.6,509.1,353,220.1,143.9,1503.3,296,563.9,267.9,908.1,338.6,1187.5,212.3,749.7,127.6,1351.7,229.6,1867.3,6628.2
1986-01-01,570.5,126.7,320.3,220.4,327.6,264.7,198,114.9,1361.6,287.7,504.3,216.6,666.1,222.4,570.5,163.4,447,92.8,812.6,187.6,1674.4,4674.9
1986-02-01,478.2,111.2,288.2,220.1,293.4,250.1,180.1,104.6,1273.9,252.9,452.9,200,641.5,211.6,478.2,152.7,399.4,84.7,763.6,192.4,1558.5,4294.1
1986-03-01,547.4,114.8,304.9,218.6,297.3,252.1,191.3,113.8,1371.5,270,480.3,210.3,636.2,214.5,547.4,157.9,419.6,88,768,175.7,1676.6,4528
1986-04-01,594.3,134.1,370.4,221.1,326.9,279.1,192.6,106.5,1344.6,269.9,497.2,227.4,662.4,222.6,594.3,168.2,504.5,95.4,827,176.1,1643.7,4729
1986-05-01,751.6,152.5,435.7,233.3,385.2,316.6,204.4,106.6,1435.5,280.5,530.8,250.3,709.8,240.6,751.6,175.8,588.2,107.2,935.1,186.2,1746.5,5261.9
1986-06-01,553.4,127.9,357.8,213.2,340.2,280.3,192.3,100.1,1346,264.9,484.8,219.9,641.8,216.6,553.4,164.1,485.7,94.6,833.6,166.5,1638.5,4637.8
1986-07-01,663.2,136.2,371,210,375.6,292.6,201.6,101.1,1419.1,278,526.3,248.2,692.9,230.2,663.2,175.8,507.2,104.3,878.2,182.6,1721.8,4989.5
1986-08-01,581.1,132.3,352.1,229.9,376,292.2,205.4,108.7,1406.8,291.7,538.4,246.7,700.8,235.4,581.1,179,484.5,104,898.1,182.4,1720.9,4923.8
1986-09-01,661.9,137.4,359.4,228.4,347.6,286.3,200.8,107.5,1397.5,288.4,537.4,249,698.1,234.9,661.9,177.9,496.9,102.6,862.3,182.7,1705.7,4962.2
1986-10-01,665.6,150.4,395.1,284,354.7,311.9,211.6,117.2,1487.6,303.9,570.4,266.5,756.7,260.9,665.6,193.3,545.5,108.9,950.6,193.6,1816.4,5305.1
1986-11-01,700.9,148.4,397.4,311.3,350.4,306.5,208.2,117.4,1449.1,304.5,563.8,259.3,750.1,264.7,700.9,183.9,545.8,106,968.2,195.4,1774.7,5303.5
1986-12-01,1367.9,212.7,591.7,541.3,511.4,361.3,239.3,150.5,1683.7,339.9,663.2,323.2,1017,376.2,1367.9,235.1,804.4,141,1414,264.7,2073.6,7340
1987-01-01,613.9,137.1,324,258,332.2,270.9,210.7,126.2,1493.8,325.8,571.6,245.8,726.9,245.9,613.9,182.4,461.1,100.9,861.1,197.8,1830.7,5065.3
1987-02-01,513.2,121.7,295.9,244.4,310.6,257.6,199.3,114.2,1396.5,296.9,525.1,228.2,701.3,233.2,513.2,170.1,417.6,93.5,812.5,204.5,1710.1,4679.8
1987-03-01,599.9,132,347.3,247.5,333.3,281.6,203.5,117.7,1469.8,300.1,543.6,243.5,716.8,240.1,599.9,175.3,479.3,100.3,862.3,201.1,1791,4993
1987-04-01,674.1,142.5,386.1,240.5,339.8,266.6,209.1,116.2,1499.2,303.8,558.1,254.3,733.9,245,674.1,183.1,528.6,104.7,846.8,201.1,1824.4,5166
1987-05-01,714,154,431.4,258,384.5,291,212.9,113.1,1497.3,305.5,565.1,259.6,764.8,254,714,193.4,585.4,109.6,933.6,207.8,1823.3,5386.3
1987-06-01,670.5,139.2,390.3,225,381.1,280.2,207.6,107.8,1446.6,298.4,542.3,243.9,728.4,237,670.5,187.7,529.5,104.4,886.2,199.4,1761.9,5118.9
1987-07-01,720.9,150.8,428.9,244.7,394.5,319.7,222.9,117.1,1516.9,331.1,598.6,267.5,779.7,256.7,720.9,193.4,579.7,112.5,958.9,217.1,1856.9,5494.6
1987-08-01,601.6,137.5,381.1,256.4,375.5,306.4,217.1,116.6,1487.3,322.8,583.7,260.9,773.7,254.6,601.6,196.2,518.6,108.4,938.2,214.5,1821,5236.7
1987-09-01,672.3,149.3,413.9,280.6,368.4,303.9,217.5,121.3,1491.2,328.4,592.7,264.3,783.9,262.2,672.3,198.1,563.1,109.5,953,214.1,1830,5395.1
1987-10-01,709.1,161,435.6,321.2,403.8,333.7,226.7,130.2,1585.5,345.2,623.3,278.2,814.1,282.7,709.1,203.7,596.6,117.3,1058.8,210.5,1942.4,5744.4
1987-11-01,743.2,159.8,427.4,344.5,419.4,320.7,219.3,130,1536.7,339.8,621.9,282.1,822,290.5,743.2,202.2,587.2,119.9,1084.6,209.4,1885.9,5745
1987-12-01,1460.1,229.1,635.4,590.6,612.4,373.1,254.7,170.4,1847.3,380.7,739.8,359.1,1109.6,413.6,1460.1,252,864.5,161.9,1576.1,282.2,2272.4,8022.4
1988-01-01,631,145.8,341.1,284.7,373.5,280.8,219,139.6,1526.6,350,605,255,757.4,261.3,631,191.2,487,107.2,938.9,197.7,1885.1,5304.4
1988-02-01,551.1,142.9,359.7,287.4,387.7,293.2,211.6,124.5,1509.2,326.3,586.1,259.8,773.5,263.2,551.1,184.8,502.6,109.7,968.3,215.9,1845.2,5226.8
1988-03-01,678.1,152.3,398.7,296.7,425.6,313.3,228.3,133.3,1660.1,347.5,625.3,277.9,818,277.6,678.1,199.5,551,118.9,1035.6,222,2021.6,5729.7
1988-04-01,715.7,155.1,408,273.8,388.4,283.1,219.6,127.6,1590.3,343.5,611.9,268.4,753.7,261.3,715.7,189.7,563.1,113,945.3,189.7,1937.5,5527.3
1988-05-01,740.8,168.1,451.5,294.6,449.1,331.3,222.7,120.2,1564.2,347.4,630.5,283.1,814.9,280.2,740.8,201,619.6,123.1,1074.9,210.6,1907,5787.8
1988-06-01,722,161.5,440.1,283.5,438.3,331.8,224,118.4,1583.3,347.1,635.5,288.4,800.8,271.7,722,210.4,601.6,119.7,1053.6,198.9,1925.7,5739.2
1988-07-01,683.5,159.2,433.5,293.1,432,319.9,227.8,117.6,1587.1,349.1,658.7,309.6,810.1,276.1,683.5,210.6,592.7,124.9,1045.1,198.6,1932.6,5722.7
1988-08-01,650.9,154,424.1,307.9,434.9,330.6,233.1,113.5,1631,350.4,656.4,306.1,850.9,284.5,650.9,227.2,578,125.5,1073.4,213.7,1977.6,5787.3
1988-09-01,723.3,171.1,470.6,293.2,417.3,330.1,237.5,124.9,1672.7,363.8,660,296.2,845.5,294.7,723.3,223,641.7,127.2,1040.7,200.6,2035.2,5946.3
1988-10-01,729.6,177.6,472.6,340.1,414.2,338.6,240.4,129.5,1680.8,367.5,670.2,302.7,872.1,309.7,729.6,225.1,650.2,130.5,1092.9,206.9,2050.7,6065.8
1988-11-01,870.3,184.5,479.9,382.1,471.4,357.5,238.9,135.7,1734.8,361.4,670.8,309.4,945,344.7,870.3,227.5,664.4,146.3,1210.9,226.5,2109.5,6470.9
1988-12-01,1570,277.7,678.6,641,663.7,410.1,280.4,216.5,2052.7,392.8,773.9,381.1,1321.2,533.7,1570,296.2,956.3,209.6,1714.8,281.6,2549.7,8885.8
1989-01-01,631.5,165.4,432.6,359.1,433.6,296.5,244.7,112.2,1699.2,378.9,732.8,353.9,872.7,300.9,631.5,218.5,598,122.2,1089.2,231.1,2056.1,5980.3
1989-02-01,552,145.2,371.8,329.6,404.7,287.1,226.9,114.1,1649.2,343.1,660.7,317.5,832.7,284.1,552,203.1,517,114.8,1021.5,230.8,1990.2,5574.1
1989-03-01,719,165,428,352,450.3,304.7,248.3,138.9,1874.1,365.9,713.2,347.3,905.5,311.8,719,225.5,593,130.8,1107,237.4,2261.2,6299
1989-04-01,697.6,169.6,462.7,328.9,447.4,312.8,237.6,131.4,1735.5,358.1,693.9,335.8,858.2,296.2,697.6,217,632.3,123.2,1089,221.8,2104.6,6075.7
1989-05-01,764.8,184.6,494.9,353.9,512.4,337.3,247.5,134.8,1756.7,364.3,710,345.7,940.9,326.3,764.8,237.7,679.5,137.7,1203.6,239.1,2139,6437.8
1989-06-01,786.3,180.5,480.9,319.7,496.3,335.8,250.4,131.9,1788,369,721.7,352.7,885.8,297,786.3,231.4,661.4,131.6,1151.9,225.9,2170.3,6377.4
1989-07-01,715.1,174.5,460.1,317.5,495.3,323.1,246.9,134.9,1781.2,370.9,741.3,370.4,897.7,302.2,715.1,233.1,634.6,133.9,1135.8,228.5,2163.1,6287.5
1989-08-01,723.8,170.1,432.9,319.9,513.3,328.3,252.2,139.9,1863,377.1,745.5,368.4,947.4,318.2,723.8,248.2,603,138.3,1161.5,242.7,2255.1,6436.4
1989-09-01,757.9,183.4,452.9,331.3,509.5,333.2,252.6,149.5,1860.5,387.8,766.9,379,967.7,334.5,757.9,251.4,636.3,147.3,1174,234.5,2262.6,6565.5
1989-10-01,751.7,186.2,465,359.8,515.7,341.9,257.6,149.2,1814.9,414,793.7,379.8,969.8,339.3,751.7,248.4,651.2,146.8,1217.4,235.3,2221.7,6605.4
1989-11-01,923.8,204,505.5,420.6,551.8,378.8,263.9,161.6,1902,415.8,807.5,391.7,1034.8,373.9,923.8,263.3,709.5,156.8,1351.2,240.8,2327.5,7154.3
1989-12-01,1569.4,294.6,670.1,552.8,750.2,411.2,308.7,258.4,2221.3,453.8,942.7,488.8,1415,564.2,1569.4,329.1,964.7,231,1714.2,290.7,2788.4,9394.4
1990-01-01,678.2,182.4,422.1,308.1,505,315.4,274.1,147,1856.3,446.4,857.5,411.2,965.4,330.5,678.2,247.7,604.5,141.5,1128.5,245.7,2277.4,6511.6
1990-02-01,586.2,159.1,357.6,278.3,475.2,294.4,254.8,136.8,1793.7,392.1,764.4,372.4,930.4,315.6,586.2,229.6,516.7,132.1,1048,253,2185.3,6031
1990-03-01,726.8,179.4,425,306,511.8,330.4,280.3,150.6,2008.5,423.9,840.3,416.4,990.1,338.6,726.8,261.7,604.4,143.9,1148.2,245.8,2439.5,6749.3
1990-04-01,744.1,179.3,456,284.9,491.3,307.5,266.4,144.3,1875.4,413.1,804.6,391.5,922.4,312.4,744.1,252.2,635.3,138,1083.7,219.8,2286,6476.1
1990-05-01,815.5,197.1,515.8,299.5,559.3,352.8,276.9,143.7,1962.4,414.3,808.9,394.5,1016.2,344.3,815.5,277.6,712.9,150.9,1211.6,243.4,2382.9,6947.9
1990-06-01,832.4,187.5,477.2,279.2,533.5,347.7,282.6,138.7,1940.6,421.7,799,377.3,940.5,318.7,832.4,253.6,664.7,139.9,1160.4,228.3,2361.9,6758.9
1990-07-01,710.3,181.8,466.1,279.7,516.7,339.8,278.2,130.7,1894,422.5,815,392.5,961.2,324.9,710.3,258,647.9,142.1,1136.2,236.3,2302.9,6573.5
1990-08-01,759.4,181.9,457.5,299.3,544.6,342.1,288.2,137.1,2043.7,429.6,828,398.4,1029.4,343.7,759.4,280,639.4,150.6,1186,255.1,2469,6911.2
1990-09-01,741.1,184.8,451.2,289.7,492.3,329.3,266.4,130.5,1910.9,400.6,812.4,411.8,980.6,331.4,741.1,279.7,636,145.6,1111.3,224,2307.8,6589.3
1990-10-01,786.6,195.6,487.2,325.4,531,358.9,280.8,137.9,2023.7,426.5,833,406.5,1042.9,355.9,786.6,302.1,682.8,155.7,1215.3,229.2,2442.4,7002.9
1990-11-01,931.5,207,515.3,355.6,556.2,365.2,284.1,155.2,2114.1,427.8,851.5,423.6,1066.6,380.2,931.5,288.6,722.3,163.4,1277,234.4,2553.4,7402.3
1990-12-01,1563.1,295.1,690.7,500.6,765.5,393.4,314,233.3,2339.9,482.4,945.7,463.3,1373,534.2,1563.1,332.9,985.8,229.2,1659.5,276.8,2887.2,9414.4
1991-01-01,694,191.4,444.3,296.9,532.3,318.1,281.6,139.9,2130.5,449.6,861.7,412.1,946.6,329.8,694,251.9,635.7,143.7,1147.3,221.3,2551.9,6837.2
1991-02-01,604.7,166.2,385.3,310.4,483.2,300.8,257.7,127.1,1956.7,398.7,771.1,372.4,921.3,316.9,604.7,241.2,551.5,133.5,1094.5,229.6,2341.5,6284.6
1991-03-01,719.2,179.4,423.6,321,487.6,324.8,279.7,139.9,2174,429,813.3,384.3,975.4,330.4,719.2,263.3,603,142.8,1133.5,238.9,2593.6,6837.9
1991-04-01,748.2,193.2,493.1,308.4,499.5,328.4,270.6,133.8,1998.5,417.4,797.4,380,938.5,325.1,748.2,259.8,686.3,142.9,1136.3,210.6,2402.9,6709.5
1991-05-01,828.2,205.7,529.4,310.1,536.1,359.1,282.5,139.8,2162.2,422.9,820.6,397.7,1018,349.3,828.2,281.3,735.1,149.4,1205.3,238,2584.5,7191.7
